dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,ct_srv_src,ct_state_ttl,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,ct_srv_src,ct_state_ttl,label
0.42483330810149156,0.0,0.0,-0.009749303621169917,0.4731457800511509,-0.01067219727376591,-0.8609865470852018,0.0,-0.02442244832626985,0.05150171425171968,0.3333333333333333,0.0,0.815378,109,5,1,10,8,836,1094,20.849225,62,252,7387.984375,9399.321289,6,1,0
-0.21048428315043488,-0.3333333333333333,-0.42857142857142855,0.10306406685236769,-0.17135549872122763,-0.0071714241372836576,-0.8609865470852018,0.0,-0.0033810910484243935,-0.03621489114490953,0.3333333333333333,1.0,0.201635,109,0,0,6,2,998,86,34.716195,62,252,33010.14063,1706.052979,6,3,0
-0.41919586767128225,-0.6666666666666666,-0.5714285714285714,0.6211699164345403,-0.22634271099744246,22.934434947791495,0.0,-1.1300448430493273,520.1733102111634,-0.055666854850655645,1.8333333333333333,0.5,1.1e-05,115,0,2,2,0,1742,0,90909.0902,254,0,633454528.0,0.0,15,2,0
1.0981658391916496,0.16666666666666666,0.2857142857142857,1.2311977715877438,0.20971867007672634,-0.011974510923700074,0.0,0.0,-0.019733081970056143,-0.016713289815470125,-0.3333333333333333,0.0,1.465845,109,3,1,12,12,2618,682,15.690609,254,252,13098.24707,3416.459473,2,1,0
3.752263684392359,9.333333333333334,8.428571428571429,4.850974930362117,10.50383631713555,-0.0004619583975466816,-1.0,-1.0,-0.017851629090951324,0.3211794106292247,-0.3333333333333333,-0.5,4.029813,109,0,1,122,126,7816,16782,61.29317,31,29,15389.30078,33051.66016,2,0,0
0.15381486039027836,-0.3333333333333333,-0.42857142857142855,0.10306406685236769,-0.17135549872122763,-0.012743297969301116,-0.8609865470852018,0.0,-0.02061533396630611,-0.04858148806895961,-0.5,1.0,0.553563,109,0,0,6,2,998,86,12.645354,62,252,12023.92481,621.428833,1,3,0
-0.4192031137386732,-0.6666666666666666,-0.5714285714285714,-0.5292479108635098,-0.22634271099744246,63.09758417122135,0.0,-1.1300448430493273,73.87906494523672,-0.055666854850655645,0.8333333333333334,2.5,4e-06,109,0,3,2,0,90,0,250000.0006,254,0,90000000.0,0.0,9,6,0
-0.4025061041648067,2.5,2.4285714285714284,1.1782729805013927,13.20460358056266,1.251498387774638,-1.0,-1.0,0.9789551994694055,115.87540582589527,0.0,-0.5,0.016134,109,0,1,40,42,2542,21006,5020.453871,31,29,1229205.5,10167845.0,4,0,0
-0.14732238400792932,0.5,0.7142857142857143,0.4805013927576602,0.8248081841432225,0.01578304729323624,-1.0,-1.0,0.005629311280242562,0.4836595212644806,1.0,-0.5,0.262652,109,0,1,16,18,1540,1644,125.641529,31,29,43982.14844,47302.13281,10,0,0
0.38528013167139596,0.0,-0.14285714285714285,-0.2200557103064067,-0.054987212276214836,-0.011063091615321428,0.0,0.0,-0.02642348696151423,-0.029376645005656406,-0.3333333333333333,0.0,0.777168,109,0,1,10,6,534,268,19.300847,254,252,4951.310547,2305.807861,2,1,0
-0.10142372284827388,1.5,1.4285714285714286,2.3272980501392757,1.6764705882352942,0.02929343960354034,-1.0,-1.0,0.05603205391258022,0.7970714777199936,0.5,-0.5,0.306992,109,0,1,28,28,4192,2976,179.157766,31,29,105357.7969,74790.22656,7,0,0
-0.4192020785861888,-0.6666666666666666,-0.5714285714285714,0.149025069637883,-0.22634271099744246,50.47488136948214,0.0,-1.1300448430493273,698.9896528478614,-0.055666854850655645,5.166666666666667,0.5,5e-06,115,0,2,2,0,1064,0,200000.0051,254,0,851200000.0,0.0,35,2,0
0.35025057159826245,0.3333333333333333,0.2857142857142857,1.732590529247911,0.2071611253196931,-0.00744500003899248,0.0,0.0,-0.003090931893385339,0.02065885236135065,0.3333333333333333,0.0,0.743328,109,0,1,14,12,3338,678,33.632529,254,252,33363.46875,6694.21875,6,1,0
-0.31587729820025806,4.5,4.142857142857143,2.0584958217270195,33.030690537084396,0.31031407526475535,-1.0,-1.0,0.21611993091778972,46.75334319613595,0.3333333333333333,-0.5,0.099821,109,0,1,64,66,3806,52014,1292.313224,31,29,300297.5313,4105428.75,6,0,0
0.12072931668290557,3.5,3.2857142857142856,1.4512534818941505,2.166240409207161,0.03488416670615927,-1.0,-1.0,0.005759778963467248,0.5866412820136274,-0.5,-0.5,0.521601,109,3,1,52,54,2934,3742,201.303287,31,29,44141.01953,56334.24609,1,0,0
